Sample number,X1,X2,X3,X4,Y
,9.1,1.3,1.1,1,108.9
1.0,2777327.7846966665,2952859.4511216898,3114843.210959453,3226343.3056273833,2413576.120332148
2.0,2559459.947913186,2787204.9301150423,2968920.6174165606,3231222.549986924,2228159.7589814942
3.0,2431041.49691284,2707081.8836403675,2873576.8263390115,3099823.3894186043,2153720.906917058
4.0,2830153.088525269,3091229.365712295,3291966.722302537,3386440.3524573576,2517555.866843528
5.0,2488758.773297271,2739070.181363376,2843742.3241126165,3050427.687642302,2210326.1772004575
6.0,2717175.898258005,2834573.817114221,2947777.5701699965,3032140.5113710435,2438662.8215184966
7.0,2722044.9173986763,2875568.933278798,3043772.811474388,3142253.2125348425,2437107.2791220215
8.0,2538089.899336877,2779893.7144977334,3003324.0326439175,3178077.186362403,2313235.231243946
9.0,2817720.9535960862,3046657.4584602322,3183826.157223963,3399254.144575329,2472612.027290363
10.0,2779164.550953664,2961133.6526275505,3092004.000750698,3207985.8401747816,2414489.5488386876
11.0,2758338.070144112,2992327.438584809,3153393.7667887807,3186069.294555309,2459562.8095611995
12.0,2674551.2493722215,2822301.524426193,2926761.167987421,3045471.8448841716,2406908.634746338
13.0,2599705.034695886,2836819.513618632,3021366.9084841115,3285291.259602634,2357308.234340084
14.0,2692996.709170326,2872084.208111592,3023318.8780889986,3128879.591698761,2367518.336923452
15.0,2637411.331818791,2810276.196668976,2972236.433073945,3129196.177078119,2357630.49809965
16.0,2765006.819284295,3014406.2882906273,3201571.9624733464,3374119.2387694567,2457285.129710042
17.0,2494139.9715909124,2762574.5398983113,2918577.6918957313,3187761.941865707,2208252.1113514532
18.0,2651931.841385036,2774424.9985270845,2906751.948050238,2996014.9172843127,2380486.6484123315
19.0,2795672.38350959,2948808.3511367207,3051564.3006334966,3117960.9284615014,2501045.633833295
20.0,2971768.390036064,3179907.7294092453,3344756.3249443374,3490388.211726253,2670591.057219123
21.0,2731597.405315729,2855963.098394539,2965373.3353205086,3073453.421717504,2366371.067584249
22.0,2678375.638289885,2827439.655413257,2929230.376971494,3049330.6020659013,2365899.3465563236
23.0,2692331.7282668017,2856339.0777008436,2970772.668019894,3063105.9516655724,2425561.79826374
24.0,2457138.290206568,2657452.4703415344,2866640.1404864946,3021714.0744295856,2199161.547547731
25.0,2793057.8289528387,3011610.9199079056,3256455.388692937,3339512.5611863523,2504254.9765701485
26.0,2751250.138567961,2953430.129597359,3129220.281957336,3390111.576699204,2414909.4555744855
27.0,2575020.8851978253,2744636.632107423,2879210.3767718673,2981698.7780525563,2334841.858240972
28.0,2783135.3125643525,2941834.0444883932,3052349.291711789,3099393.7961163,2486646.646701776
29.0,2667156.7213818477,2876401.51982889,3020316.597789659,3165438.295154155,2373130.0699409805
30.0,2949061.5559756253,3160938.9231503983,3266451.7465427853,3445108.4137780657,2648228.386940767
31.0,2805566.497886483,3063575.4783953866,3204683.119608919,3426124.0848091585,2491370.644199676
32.0,2493751.6846101386,2734003.406815128,2885265.484310277,3032965.747727928,2268214.7008229513
33.0,2676394.009213513,2930473.798702724,3090384.965638839,3313045.8871670105,2375044.4113641838
34.0,2787853.8181730527,2973411.9484808487,3155525.91908265,3231020.26202428,2504231.5514809354
35.0,2561337.542638138,2781310.7890469716,2918607.4685349236,3119452.9659280423,2313075.0700646965
36.0,2885814.5985515015,3116708.053453905,3295509.5941848177,3337887.5475146333,2572791.3792822706
37.0,2615035.936868724,2809251.401808716,2994326.39445258,3127362.613583627,2358957.600008231
38.0,2737774.798019032,2953227.4011287186,3061435.787311624,3128868.633701073,2442622.922870695
39.0,2681641.4970518807,2850947.3616804974,2990571.131333474,3057223.057523181,2287390.8874508305
40.0,2768106.801442561,2944733.6758470912,3093909.365058724,3212738.671420283,2362248.1206196835
41.0,2686843.5609566914,2836897.718844607,2987748.2111422503,3074155.297184604,2423289.591163441
42.0,2482746.943413595,2638467.9932313273,2739364.6009096284,2858432.3518709047,2188943.248177328
43.0,2761222.135384455,2886359.0108205173,3022339.277742886,3115727.7517049885,2462575.371431721
44.0,2830486.92461575,3054071.7895179163,3245873.1616494977,3355607.6613654625,2517813.791823418
45.0,2454675.636293553,2700883.4775145347,2824442.827325335,2998469.3648609663,2179540.2295230846
46.0,2469293.135403462,2652372.6460265224,2817218.22259708,2905452.7855069097,2251372.857651038
47.0,2582565.5564423664,2708528.497735404,2784041.326508653,2848142.0305784936,2290775.131878478
48.0,2821410.487252685,3025602.6686521387,3187275.6724380446,3231493.899532115,2517771.651456036
